demographic_group	pvalue	bonferroni_cutoff	#comparisons
over30	0.010101010101010102	0.05	1
american_indian	0.0	0.005	10
male/white	0.0	0.002380952380952381	21
female/american_indian	0.0	0.002380952380952381	21
male/over30	0.002004008016032064	0.008333333333333333	6
asian/under30	0.0	0.002380952380952381	21
male/asian/under30	0.0	0.0011111111111111111	45
male/white/over30	0.0	0.0011111111111111111	45
female/american_indian/over30	0.0	0.0011111111111111111	45
