demographic_group	pvalue	bonferroni_cutoff	#comparisons
over30	0.015228426395939085	0.05	1
female/nonwhite	0.004016064257028113	0.008333333333333333	6
male/over30	0.001001001001001001	0.008333333333333333	6
nonwhite/over30	0.0	0.008333333333333333	6
female/nonwhite/over30	0.0	0.0017857142857142859	28
male/white/over30	0.001001001001001001	0.0017857142857142859	28
