demographic_group	pvalue	bonferroni_cutoff	#comparisons
over30	0.009081735620585266	0.05	1
female/nonwhite	0.0030090270812437314	0.008333333333333333	6
male/white	0.006036217303822938	0.008333333333333333	6
male/over30	0.007049345417925478	0.008333333333333333	6
nonwhite/over30	0.0	0.008333333333333333	6
female/nonwhite/over30	0.0	0.0017857142857142859	28
